epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,170.146,3.53994,7.25458,4.36299,4.19769,0.00206,0.23455,0.00223,0.00074,0.00019,0.0216,0.0001,2e-05,3.31509,49.9365,4.69972,4.57254,0.00331699,0.00331699,0.00331699
2,338.781,3.16128,4.97461,3.85896,3.68535,0.35348,0.02834,0.01152,0.00322,0.35182,0.02316,0.00632,0.00142,2.67987,4.80955,3.69783,3.33388,0.00658449,0.00658449,0.00658449
3,506.743,2.5203,4.57286,3.38374,2.92456,0.41446,0.10579,0.03973,0.0133,0.4153,0.08935,0.03287,0.00894,2.41804,4.46888,3.72163,2.93019,0.00978598,0.00978598,0.00978598
4,674.229,2.22993,4.16637,3.01718,2.55583,0.45308,0.14248,0.06676,0.02353,0.44636,0.12274,0.05695,0.01718,2.27939,4.11854,3.45842,2.72409,0.009703,0.009703,0.009703
5,841.167,2.06283,3.86118,2.78013,2.36019,0.323,0.18646,0.13021,0.05223,0.35287,0.18016,0.12752,0.04645,2.07235,3.69979,2.718,2.45576,0.009604,0.009604,0.009604
6,1007.78,1.97068,3.68615,2.63285,2.26086,0.5032,0.16895,0.11904,0.04619,0.50459,0.14637,0.10025,0.03392,2.08757,3.70275,2.7848,2.44935,0.009505,0.009505,0.009505
7,1174.24,1.8945,3.51284,2.51225,2.18288,0.57236,0.23614,0.20475,0.09235,0.56852,0.22871,0.18945,0.07853,1.89454,3.35663,2.4356,2.24543,0.009406,0.009406,0.009406
8,1341.46,1.84553,3.38661,2.42078,2.12887,0.33694,0.23924,0.20648,0.0962,0.42908,0.22545,0.19596,0.08115,1.83406,3.27243,2.42269,2.17775,0.009307,0.009307,0.009307
9,1517.47,1.81411,3.3436,2.35026,2.09186,0.42563,0.26335,0.2455,0.11644,0.44976,0.24486,0.23163,0.09954,1.78812,3.13697,2.3114,2.14421,0.009208,0.009208,0.009208
10,1695.63,1.7474,3.21385,2.28854,2.03853,0.31873,0.27919,0.26862,0.13187,0.30834,0.27146,0.24766,0.10901,1.7767,3.0728,2.22632,2.10481,0.009109,0.009109,0.009109
11,1874.07,1.73974,3.15094,2.21809,2.02085,0.31017,0.34018,0.28445,0.14395,0.3228,0.32181,0.27144,0.12363,1.68572,2.96575,2.12335,2.02847,0.00901,0.00901,0.00901
12,2053.1,1.72058,3.10226,2.17684,1.9899,0.3656,0.32954,0.30513,0.15566,0.35618,0.31076,0.28063,0.12709,1.66944,2.96004,2.13968,2.02517,0.008911,0.008911,0.008911
13,2231.47,1.67196,3.01812,2.11878,1.95989,0.36898,0.35995,0.31947,0.16419,0.3615,0.34173,0.29642,0.13463,1.66987,2.94808,2.03473,1.98599,0.008812,0.008812,0.008812
14,2409.45,1.65154,2.98585,2.08538,1.93818,0.42281,0.3339,0.32431,0.17117,0.42936,0.32786,0.31233,0.14451,1.63433,2.82273,2.06348,1.95491,0.008713,0.008713,0.008713
15,2577.82,1.61844,2.92743,2.01307,1.89737,0.45641,0.39067,0.38498,0.20691,0.45571,0.37967,0.36384,0.17206,1.57479,2.70494,1.8764,1.90273,0.008614,0.008614,0.008614
16,2744.15,1.60247,2.87658,1.97086,1.88331,0.43268,0.39101,0.37717,0.20364,0.44585,0.38016,0.36793,0.17859,1.5543,2.66804,1.85971,1.88783,0.008515,0.008515,0.008515
17,2910.61,1.58061,2.82182,1.92539,1.85911,0.48445,0.37656,0.39175,0.21522,0.48477,0.37001,0.37527,0.1801,1.54752,2.64711,1.84727,1.89007,0.008416,0.008416,0.008416
18,3077.05,1.56828,2.80121,1.9276,1.83613,0.45436,0.40153,0.40767,0.23201,0.4946,0.39125,0.39623,0.19378,1.48031,2.61661,1.74514,1.81226,0.008317,0.008317,0.008317
19,3243.69,1.54052,2.73389,1.86608,1.82451,0.46443,0.43124,0.42963,0.24065,0.46672,0.41756,0.41323,0.20408,1.49257,2.55002,1.71981,1.82408,0.008218,0.008218,0.008218
20,3411.03,1.52783,2.70568,1.8235,1.80378,0.51282,0.45669,0.46419,0.25812,0.50751,0.43982,0.44077,0.21935,1.48276,2.49417,1.68414,1.79493,0.008119,0.008119,0.008119
21,3577.73,1.50058,2.65885,1.78445,1.78334,0.49175,0.45422,0.45775,0.2595,0.48554,0.44198,0.44047,0.21897,1.45684,2.45045,1.66718,1.79166,0.00802,0.00802,0.00802
22,3744.22,1.47987,2.62377,1.75579,1.76246,0.47335,0.49309,0.4765,0.26942,0.48225,0.47005,0.46302,0.22919,1.4514,2.42523,1.60887,1.76861,0.007921,0.007921,0.007921
23,3910.84,1.47421,2.59903,1.72513,1.75018,0.50416,0.46592,0.47882,0.27578,0.5036,0.45166,0.45796,0.23417,1.42932,2.37264,1.57468,1.72829,0.007822,0.007822,0.007822
24,4076.58,1.46429,2.57653,1.68954,1.74322,0.51148,0.49829,0.49555,0.28152,0.49763,0.48427,0.46803,0.23301,1.44201,2.37833,1.57706,1.76665,0.007723,0.007723,0.007723
25,4242.74,1.44627,2.53509,1.66336,1.7247,0.56356,0.47054,0.50484,0.28959,0.56641,0.46831,0.49123,0.24099,1.45344,2.42327,1.57955,1.7744,0.007624,0.007624,0.007624
26,4409.11,1.42257,2.48838,1.62994,1.70356,0.5388,0.5084,0.52335,0.30486,0.54261,0.49144,0.50644,0.25736,1.39402,2.32834,1.49293,1.70541,0.007525,0.007525,0.007525
27,4575.49,1.41945,2.48197,1.59264,1.70185,0.57182,0.51469,0.53804,0.31941,0.56234,0.50462,0.51969,0.26788,1.38124,2.28343,1.44575,1.70923,0.007426,0.007426,0.007426
28,4741.77,1.39328,2.44046,1.5731,1.67668,0.55992,0.51573,0.53046,0.30818,0.56615,0.51239,0.52091,0.2681,1.38099,2.30165,1.46146,1.69809,0.007327,0.007327,0.007327
29,4907.79,1.38088,2.41725,1.53445,1.66627,0.56704,0.5422,0.55626,0.33312,0.58523,0.53445,0.55687,0.28214,1.35162,2.24565,1.39129,1.66376,0.007228,0.007228,0.007228
30,5079.34,1.37109,2.41329,1.51242,1.64913,0.61482,0.54259,0.57227,0.34588,0.61982,0.52879,0.56171,0.2917,1.32853,2.24359,1.37143,1.64778,0.007129,0.007129,0.007129
31,5257.37,1.36322,2.37033,1.49699,1.64342,0.61544,0.53026,0.58754,0.35329,0.62077,0.5304,0.57467,0.29768,1.30654,2.19849,1.34301,1.63377,0.00703,0.00703,0.00703
32,5435.22,1.33655,2.3534,1.46836,1.6181,0.60937,0.56527,0.60174,0.37065,0.599,0.55377,0.58352,0.3096,1.28613,2.16713,1.29498,1.60107,0.006931,0.006931,0.006931
33,5613.4,1.32561,2.32525,1.43166,1.60793,0.6466,0.56802,0.62133,0.38074,0.63622,0.5525,0.59658,0.31585,1.27877,2.12527,1.2445,1.59513,0.006832,0.006832,0.006832
34,5791.29,1.31155,2.30382,1.40595,1.59591,0.68147,0.56285,0.62815,0.38971,0.66746,0.55494,0.60401,0.32386,1.25456,2.08583,1.23417,1.58147,0.006733,0.006733,0.006733
35,5969.42,1.30463,2.2647,1.38446,1.59267,0.66458,0.56507,0.61606,0.37922,0.66069,0.55984,0.6038,0.31688,1.28554,2.10848,1.25096,1.60395,0.006634,0.006634,0.006634
36,6142.85,1.30002,2.25967,1.35659,1.58051,0.66466,0.5817,0.63975,0.40043,0.67767,0.56795,0.63091,0.33467,1.26831,2.11584,1.19876,1.58614,0.006535,0.006535,0.006535
37,6310.19,1.28768,2.25382,1.34821,1.57682,0.65647,0.60712,0.65723,0.41633,0.65566,0.59795,0.63955,0.34392,1.23535,2.03221,1.17013,1.54901,0.006436,0.006436,0.006436
38,6476.25,1.2552,2.20624,1.31107,1.54484,0.70511,0.6076,0.66527,0.42338,0.69129,0.59046,0.64396,0.34777,1.2263,2.04231,1.14388,1.55023,0.006337,0.006337,0.006337
39,6642.48,1.24743,2.20648,1.2969,1.53638,0.68398,0.6209,0.67215,0.42793,0.6852,0.60131,0.65084,0.35006,1.21597,2.02134,1.13081,1.53245,0.006238,0.006238,0.006238
40,6808.92,1.23601,2.17376,1.26189,1.52687,0.70315,0.59622,0.67293,0.4377,0.71239,0.59065,0.66698,0.36229,1.19787,1.99968,1.11551,1.50617,0.006139,0.006139,0.006139
41,6975.2,1.23936,2.16256,1.26493,1.52795,0.72671,0.63203,0.69565,0.44743,0.72552,0.62694,0.67797,0.36564,1.19266,1.9949,1.07521,1.504,0.00604,0.00604,0.00604
42,7141.58,1.2158,2.14195,1.23778,1.50618,0.70486,0.65031,0.70305,0.45084,0.70454,0.63913,0.68532,0.37276,1.18242,1.9716,1.07119,1.50932,0.005941,0.005941,0.005941
43,7307.52,1.221,2.13775,1.23383,1.50687,0.70954,0.65661,0.70788,0.45994,0.69903,0.65071,0.69198,0.37929,1.17048,1.93651,1.05012,1.48646,0.005842,0.005842,0.005842
44,7473.75,1.19245,2.10046,1.18562,1.47749,0.75908,0.65479,0.73169,0.47663,0.74123,0.65188,0.71255,0.39357,1.14729,1.9244,0.9947,1.46753,0.005743,0.005743,0.005743
45,7639.77,1.18349,2.10897,1.17903,1.47868,0.75481,0.64922,0.72539,0.47809,0.75675,0.64599,0.71166,0.39755,1.14294,1.90804,1.00963,1.45729,0.005644,0.005644,0.005644
46,7806.04,1.17102,2.06311,1.1683,1.46658,0.75242,0.66455,0.73475,0.48598,0.74228,0.65534,0.7136,0.40032,1.13059,1.89032,0.98227,1.44604,0.005545,0.005545,0.005545
47,7972.24,1.16013,2.03405,1.14985,1.45767,0.80335,0.6463,0.74107,0.49439,0.78993,0.64356,0.72255,0.4074,1.12509,1.85868,0.96172,1.43288,0.005446,0.005446,0.005446
48,8138.11,1.15732,2.02009,1.11949,1.44873,0.75919,0.66437,0.74625,0.49662,0.75676,0.65741,0.73339,0.41244,1.11594,1.86342,0.9458,1.43218,0.005347,0.005347,0.005347
49,8304.25,1.13696,2.01152,1.10458,1.43244,0.75602,0.69838,0.76158,0.50981,0.74866,0.68937,0.73836,0.42302,1.10087,1.83415,0.91557,1.42239,0.005248,0.005248,0.005248
50,8470.63,1.13079,2.00312,1.09146,1.42718,0.79133,0.6856,0.76765,0.52304,0.78314,0.68351,0.75641,0.43109,1.09035,1.78592,0.8947,1.40449,0.005149,0.005149,0.005149
51,8639.38,1.12815,2.0022,1.08041,1.42749,0.79723,0.70209,0.77664,0.52542,0.79523,0.70149,0.76539,0.43805,1.08394,1.79295,0.89563,1.405,0.00505,0.00505,0.00505
52,8817.18,1.11331,1.96985,1.06384,1.40292,0.80791,0.69634,0.77636,0.52772,0.80167,0.69436,0.76221,0.44056,1.06959,1.77753,0.88126,1.38592,0.004951,0.004951,0.004951
53,8994.98,1.10435,1.95117,1.04336,1.40253,0.80403,0.7057,0.7826,0.53697,0.80053,0.70553,0.77297,0.44639,1.06365,1.75106,0.85262,1.38102,0.004852,0.004852,0.004852
54,9172.98,1.09028,1.92691,1.02711,1.3895,0.78688,0.72922,0.7991,0.55143,0.80338,0.7098,0.78554,0.45647,1.03779,1.73384,0.8273,1.35627,0.004753,0.004753,0.004753
55,9351.18,1.08963,1.89657,1.03265,1.38941,0.801,0.72479,0.79848,0.54813,0.80347,0.72108,0.78462,0.45446,1.04485,1.7281,0.84124,1.36112,0.004654,0.004654,0.004654
56,9529.27,1.08159,1.9095,1.02155,1.3751,0.83708,0.72388,0.8155,0.56323,0.8287,0.71576,0.79311,0.46219,1.03135,1.70271,0.8072,1.35321,0.004555,0.004555,0.004555
57,9702.99,1.07435,1.87633,0.98816,1.37065,0.8321,0.72738,0.81656,0.56942,0.81913,0.72125,0.7904,0.46509,1.01678,1.70423,0.79171,1.33646,0.004456,0.004456,0.004456
58,9872.4,1.06179,1.86403,0.98069,1.36065,0.82096,0.74161,0.81453,0.57049,0.81876,0.73008,0.79785,0.46834,1.01652,1.68811,0.78586,1.33402,0.004357,0.004357,0.004357
59,10041.5,1.05914,1.87487,0.98,1.36741,0.82926,0.76737,0.82303,0.57849,0.82009,0.75101,0.80233,0.47276,1.00551,1.68539,0.76304,1.32637,0.004258,0.004258,0.004258
60,10211.2,1.04341,1.83427,0.9649,1.34829,0.81927,0.76694,0.83157,0.59014,0.81406,0.76657,0.81585,0.4808,0.98734,1.66287,0.74837,1.30973,0.004159,0.004159,0.004159
61,10381.3,1.04278,1.83808,0.95918,1.35028,0.84794,0.75613,0.82411,0.58726,0.8436,0.74416,0.80572,0.47859,0.99032,1.66496,0.74817,1.30766,0.00406,0.00406,0.00406
62,10549.8,1.02544,1.82496,0.93513,1.32915,0.85817,0.74015,0.82746,0.58726,0.84607,0.73123,0.80714,0.47871,0.98516,1.65328,0.75975,1.30764,0.003961,0.003961,0.003961
63,10718.1,1.00932,1.78375,0.92106,1.32398,0.84215,0.772,0.84331,0.60396,0.83558,0.76269,0.81865,0.49325,0.971,1.63402,0.72578,1.29405,0.003862,0.003862,0.003862
64,10887,1.00133,1.76463,0.89806,1.31392,0.84206,0.77443,0.83804,0.60162,0.83592,0.76321,0.82124,0.49343,0.96332,1.62661,0.71962,1.27981,0.003763,0.003763,0.003763
65,11055.8,1.00955,1.74996,0.90863,1.31791,0.8493,0.7751,0.84573,0.60861,0.83929,0.76804,0.82262,0.49715,0.95378,1.61321,0.71011,1.27075,0.003664,0.003664,0.003664
66,11224.9,1.01096,1.79945,0.90599,1.31758,0.85251,0.78548,0.8532,0.61521,0.84373,0.77858,0.83251,0.50121,0.94718,1.60239,0.70186,1.27297,0.003565,0.003565,0.003565
67,11394.4,0.98614,1.75596,0.88107,1.30033,0.85944,0.77896,0.85266,0.62259,0.85368,0.7687,0.82797,0.50459,0.93669,1.60737,0.69122,1.25899,0.003466,0.003466,0.003466
68,11563.7,0.97508,1.75265,0.87156,1.28713,0.86678,0.78037,0.85634,0.62524,0.86677,0.77158,0.83713,0.50677,0.92823,1.57787,0.67553,1.24713,0.003367,0.003367,0.003367
69,11732.8,0.96976,1.7305,0.86942,1.28837,0.86526,0.78575,0.8584,0.6268,0.87297,0.77341,0.84239,0.51389,0.9217,1.57531,0.67278,1.24449,0.003268,0.003268,0.003268
70,11901.7,0.96744,1.71993,0.84633,1.28203,0.88308,0.78159,0.861,0.63242,0.86382,0.77961,0.84079,0.51823,0.91562,1.56222,0.66294,1.23998,0.003169,0.003169,0.003169
71,12070.4,0.94547,1.68632,0.83514,1.26553,0.87721,0.79248,0.86174,0.63297,0.8692,0.79108,0.84686,0.51618,0.90952,1.56032,0.65595,1.23534,0.00307,0.00307,0.00307
72,12240.2,0.95831,1.70741,0.84046,1.27237,0.8866,0.77636,0.86205,0.63253,0.88134,0.77267,0.84878,0.51952,0.90503,1.55219,0.65404,1.22661,0.002971,0.002971,0.002971
73,12418.2,0.935,1.65467,0.81594,1.26034,0.89369,0.78617,0.86309,0.63798,0.89327,0.77936,0.85226,0.52095,0.89741,1.54928,0.65059,1.21632,0.002872,0.002872,0.002872
74,12596.3,0.93618,1.68613,0.82323,1.25769,0.90047,0.79301,0.8714,0.6444,0.88998,0.78414,0.85409,0.52792,0.89299,1.53881,0.64053,1.21873,0.002773,0.002773,0.002773
75,12774.6,0.93277,1.65834,0.8151,1.25494,0.88656,0.78668,0.86926,0.64498,0.88417,0.77554,0.85241,0.52786,0.89197,1.53171,0.63738,1.21938,0.002674,0.002674,0.002674
76,12952.7,0.92851,1.63328,0.80371,1.25599,0.88241,0.80153,0.8708,0.64828,0.8755,0.79321,0.85577,0.52876,0.88764,1.52322,0.63021,1.21439,0.002575,0.002575,0.002575
77,13131.9,0.91605,1.62809,0.78899,1.24098,0.8954,0.79943,0.87268,0.65163,0.88843,0.79206,0.85685,0.53408,0.87792,1.52179,0.63007,1.20399,0.002476,0.002476,0.002476
78,13305.4,0.91094,1.63642,0.78605,1.23357,0.89342,0.80627,0.87752,0.65593,0.89322,0.80079,0.86605,0.53712,0.87901,1.50985,0.61835,1.20285,0.002377,0.002377,0.002377
79,13474.8,0.90642,1.61411,0.78158,1.23875,0.89572,0.80377,0.87705,0.65664,0.89905,0.79909,0.86649,0.53651,0.87471,1.4986,0.61313,1.20068,0.002278,0.002278,0.002278
80,13644.3,0.90003,1.60475,0.7707,1.22314,0.89739,0.81579,0.88032,0.66209,0.89826,0.80197,0.86241,0.53942,0.86265,1.48437,0.60487,1.19129,0.002179,0.002179,0.002179
81,13813.5,0.89225,1.59778,0.77144,1.22202,0.90167,0.81399,0.8843,0.66531,0.8919,0.80631,0.86798,0.53995,0.85877,1.48701,0.60027,1.18842,0.00208,0.00208,0.00208
82,13982.5,0.88042,1.57519,0.74582,1.20967,0.89983,0.82412,0.8902,0.67053,0.89368,0.81737,0.87557,0.54644,0.85218,1.47262,0.59044,1.18196,0.001981,0.001981,0.001981
83,14151.1,0.87952,1.58488,0.75284,1.2121,0.90599,0.81022,0.8868,0.66967,0.87981,0.8166,0.87153,0.55037,0.8456,1.46542,0.58545,1.17413,0.001882,0.001882,0.001882
84,14319.4,0.86088,1.54301,0.72117,1.19994,0.89492,0.81808,0.88955,0.67385,0.88317,0.81203,0.87023,0.55042,0.83698,1.46823,0.58645,1.16938,0.001783,0.001783,0.001783
85,14487.4,0.86508,1.55232,0.73091,1.20075,0.91017,0.81725,0.89351,0.67632,0.8977,0.80702,0.87725,0.55228,0.82859,1.45965,0.57515,1.16533,0.001684,0.001684,0.001684
86,14655.6,0.86178,1.52378,0.7301,1.20093,0.90454,0.8256,0.89538,0.679,0.90315,0.81274,0.87865,0.55503,0.82865,1.46063,0.57241,1.1631,0.001585,0.001585,0.001585
87,14824.1,0.85468,1.54734,0.71714,1.19944,0.90559,0.82629,0.89264,0.67794,0.89019,0.82718,0.87384,0.55435,0.82795,1.45269,0.5719,1.16275,0.001486,0.001486,0.001486
88,14992,0.84576,1.52028,0.70734,1.19046,0.90396,0.82962,0.8953,0.68132,0.89755,0.81698,0.87446,0.55686,0.81995,1.4492,0.56347,1.15872,0.001387,0.001387,0.001387
89,15159.6,0.84412,1.4889,0.71033,1.18809,0.91005,0.8248,0.89559,0.68493,0.89811,0.82009,0.8775,0.55912,0.81456,1.44346,0.56185,1.1535,0.001288,0.001288,0.001288
90,15328.6,0.82266,1.50041,0.69047,1.1707,0.91588,0.82322,0.89589,0.6867,0.90643,0.81491,0.88049,0.56165,0.81165,1.4385,0.55832,1.15071,0.001189,0.001189,0.001189
91,15497.8,0.67757,1.25469,0.47219,1.05116,0.9131,0.8234,0.89334,0.68231,0.90686,0.8186,0.88116,0.55719,0.81868,1.44392,0.56108,1.15839,0.00109,0.00109,0.00109
92,15665.5,0.6466,1.20202,0.43902,1.02404,0.91571,0.82741,0.89704,0.6872,0.91,0.82297,0.88362,0.56117,0.81903,1.44068,0.55973,1.15918,0.000991,0.000991,0.000991
93,15836.2,0.63336,1.18191,0.42838,1.0221,0.90813,0.83154,0.89973,0.68999,0.9021,0.82743,0.88474,0.5623,0.81491,1.43256,0.55519,1.15662,0.000892,0.000892,0.000892
94,16014.3,0.61764,1.16975,0.41981,1.00878,0.91352,0.83357,0.90127,0.69371,0.90776,0.82769,0.88545,0.56447,0.80958,1.425,0.55228,1.15362,0.000793,0.000793,0.000793
95,16192,0.62649,1.17681,0.41565,1.01541,0.93074,0.82593,0.90244,0.69573,0.92206,0.82162,0.88821,0.56692,0.80602,1.42072,0.54947,1.14923,0.000694,0.000694,0.000694
96,16369.8,0.61015,1.15461,0.41059,1.00805,0.92761,0.83336,0.90317,0.69829,0.92164,0.82818,0.8905,0.57016,0.80039,1.41366,0.54657,1.14524,0.000595,0.000595,0.000595
97,16547.6,0.60584,1.16207,0.40781,1.00162,0.93416,0.82644,0.90388,0.69998,0.92734,0.82189,0.89117,0.57083,0.79677,1.41275,0.54637,1.14197,0.000496,0.000496,0.000496
98,16726.8,0.59697,1.1344,0.40051,0.99724,0.933,0.8264,0.90442,0.70055,0.92718,0.82068,0.89189,0.57268,0.79403,1.41013,0.54389,1.13899,0.000397,0.000397,0.000397
99,16901,0.5901,1.12461,0.40005,0.9977,0.93284,0.8305,0.90342,0.7016,0.92627,0.82549,0.89234,0.57301,0.79349,1.4075,0.53969,1.13902,0.000298,0.000298,0.000298
100,17071.2,0.58865,1.1275,0.39086,0.98772,0.93375,0.83086,0.90511,0.70245,0.92516,0.82429,0.89214,0.57374,0.793,1.40644,0.53932,1.13809,0.000199,0.000199,0.000199
